湖南电信,#genre#
CCTV-6,http://118.250.36.95:8888/udp/239.76.246.156:1234
CCTV-7,http://118.250.36.95:8888/udp/239.76.246.157:1234
CCTV-8,http://118.250.36.95:8888/udp/239.76.246.158:1234
CCTV-9,http://118.250.36.95:8888/udp/239.76.246.159:1234
CCTV-10,http://118.250.36.95:8888/udp/239.76.246.160:1234
CCTV-11,http://118.250.36.95:8888/udp/239.76.245.251:1234
CCTV-12,http://118.250.36.95:8888/udp/239.76.246.162:1234
CCTV-13,http://118.250.36.95:8888/udp/239.76.246.93:1234
CCTV-14,http://118.250.36.95:8888/udp/239.76.246.164:1234
CCTV-15,http://118.250.36.95:8888/udp/239.76.245.252:1234
CCTV-16,http://118.250.36.95:8888/udp/239.76.246.98:1234
CCTV-17,http://118.250.36.95:8888/udp/239.76.245.238:1234
CCTV-16,http://118.250.36.95:8888/udp/239.76.246.214:1234
CCTV-16,http://118.250.36.95:8888/udp/239.76.246.224:1234
CCTV-16,http://118.250.36.95:8888/udp/239.76.246.230:1234
CCTV-4欧洲,http://118.250.36.95:8888/udp/239.76.246.95:1234
CCTV-4美洲,http://118.250.36.95:8888/udp/239.76.246.96:1234
CGTN英语HD,http://118.250.36.95:8888/udp/239.76.245.67:1234
CGTN记录HD,http://118.250.36.95:8888/udp/239.76.245.66:1234
CGTN俄语,http://118.250.36.95:8888/udp/239.76.246.86:1234
CGTN法语,http://118.250.36.95:8888/udp/239.76.246.87:1234
CGTN西班牙语,http://118.250.36.95:8888/udp/239.76.246.88:1234
体育,http://118.250.36.95:8888/udp/239.76.246.136:1234
金鹰卡通FHD,http://118.250.36.95:8888/udp/239.76.245.120:1234
金鹰纪实FHD,http://118.250.36.95:8888/udp/239.76.245.122:1234
湖南教育HD,http://118.250.36.95:8888/udp/239.76.245.233:1234
